Tags,Name,Link
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; positive; modern; balanced; male; quantica","Ten City – That’s The Way Love Is (Soul Avengerz Remix)","https://www.youtube.com/watch?v=nONZrv1P3OE&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=51"
"favorite; classical; newage; slow; medium; flowing; minimal; progressive; calm; modern; balanced; instrumental; other; fully tagged","Philip Glass – Floe","https://www.youtube.com/watch?v=JrBFw0M2vmg&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=1"
"favorite; classical; newage; mid; medium; flowing; minimal; progressive; calm; modern; balanced; instrumental; other; fully tagged","Philip Glass – Glassworks: IV. Rubric","https://www.youtube.com/watch?v=bx6QGMomhus&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=3"
"favorite; house; soul-rnb; mid; medium; flowing; melodic; balanced; positive; oldschool; balanced; male; other; fully tagged","Samuelle – So You Like What You See","https://www.youtube.com/watch?v=BKokZr7qq38&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=3"
"favorite; techno; electro; slow; medium; flowing; atmospheric; progressive; dreamy; modern; electronic; sampled; other; fully tagged","Buku – Front to Back","https://www.youtube.com/watch?v=PWROws51oWM&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=4"
"favorite; dnb; electro; fast; high; driving; minimal; progressive; calm; modern; ambient; instrumental; other; fully tagged","Exocet – Demon Seed (S.P.Y Remix)","https://www.youtube.com/watch?v=cCS2hbBcFZ8&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=5"
"new; favorite; house; progressive-house; mid; medium; bouncy; melodic; balanced; dreamy; modern; balanced; male; quantica","Jazzanova ft. Ben Westbeech - I Can See (Konstantin Sibold Remix)","https://www.youtube.com/watch?v=wRT5mu6xPnY&list=RDwRT5mu6xPnY&start_radio=1"
"favorite; house; progressive-house; mid; medium; flowing; minimal; progressive; calm; modern; balanced; instrumental; other; fully tagged","Miyagi – Woodpeckers Love Affair (Sascha Braemer & Dan Caster Remix)","https://www.youtube.com/watch?v=uDvZmzhREY8&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=6"
"favorite; pop; electro; mid; high; club; melodic; balanced; positive; classy; balanced; female; other; fully tagged","Agnes – Release Me","https://www.youtube.com/watch?v=keYXzDh5JEQ&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=7"
"favorite; house; progressive-house; mid; medium; flowing; minimal; progressive; calm; classy; ambient; instrumental; other; fully tagged","Vincenzo – Get To Know You","https://www.youtube.com/watch?v=C6JIIsGj_Eo&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=8"
"favorite; pop; electro; mid; high; club; melodic; balanced; positive; classy; balanced; female; other; fully tagged","Alex Gaudino, Crystal Waters – Destination Calabria","https://www.youtube.com/watch?v=Kq4OtRsdXls&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=9"
"favorite; pop; electro; mid; high; club; melodic; balanced; positive; classy; balanced; male; other; fully tagged","Eric Prydz – Call On Me","https://youtu.be/qetW6R9Jxs4?si=M2G7UJVQzbUrgfd3"
"favorite; pop; electro; fast; medium; flowing; melodic; balanced; dreamy; classy; balanced; female; other; fully tagged","Paul van Dyk – Tell Me Why","https://www.youtube.com/watch?v=IJSDQWtYlIw&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=12"
"favorite; techno; electro; slow; medium; tight; strong; varied; serious; timeless; strong; male; other; fully tagged","Faithless – Insomnia","https://www.youtube.com/watch?v=P8JEm4d6Wu4&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=13"
"favorite; house; electro; mid; high; funky; melodic; balanced; uplifting; classy; balanced; female; other; fully tagged","Michael Gray – The Weekend","https://www.youtube.com/watch?v=N3kkNfH4yco&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=14"
"favorite; techno; electro; mid; high; club; chaotic; balanced; positive; timeless; balanced; male; other; fully tagged","The Chemical Brothers – Hey Boy Hey Girl","https://www.youtube.com/watch?v=tpKCqp9CALQ&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=15"
"new; favorite; house; progressive-house; mid; medium; driving; melodic; balanced; calm; modern; balanced; mixed; quantica","Wih'Lo - It's True (Liar's 'It's a Lie' Mix)","https://www.youtube.com/watch?v=ZOULv1TqHzw&list=RDZOULv1TqHzw&start_radio=1"
"favorite; pop; electro; mid; high; funky; melodic; balanced; positive; classy; balanced; female; other; fully tagged","Madonna – Hung Up","https://youtu.be/EDwb9jOVRtU?si=Qf4mbMYriZj243pp"
"favorite; pop; electro; mid; medium; melodic; varied; positive; classy; balanced; male; other; fully tagged; cute","Pitbull – Give Me Everything (ft. Ne-Yo, Afrojack, Nayer)","https://www.youtube.com/watch?v=EPo5wWmKEaI&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=17"
"favorite; pop; electro; mid; medium; melodic; balanced; positive; classy; balanced; mixed; other; fully tagged; cute","Timbaland – If We Ever Meet Again (ft. Katy Perry)","https://www.youtube.com/watch?v=KDKva-s_khY&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=18"
"favorite; pop; electro; mid; medium; club; melodic; balanced; calm; classy; balanced; male; other; fully tagged","Timbaland – Carry Out (ft. Justin Timberlake)","https://www.youtube.com/watch?v=NRdHsuuXxfk&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=19"
"favorite; pop; electro; mid; high; melodic; varied; positive; classy; balanced; mixed; other; fully tagged; cute","Fergie – Fergalicious","https://www.youtube.com/watch?v=5T0utQ-XWGY&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=20"
"favorite; pop; electro; mid; medium; melodic; balanced; sad; classy; balanced; mixed; other; fully tagged; cute","The Black Eyed Peas – Just Can't Get Enough","https://www.youtube.com/watch?v=OrTyD7rjBpw&list=PL023kAqWnhehwyMy3HQKKVZHdbotz2zNT&index=21"
